city,month,rainfall,no,rainfall_mean,no3,temperature,temperature_usual
新潟,2013/1,148.5,0,186.0,0,1.8,2.8
新潟,2013/2,93.5,0,122.4,0,1.5,2.9
新潟,2013/3,93.5,0,112.6,0,6.0,5.8
新潟,2013/4,142.0,0,91.7,0,10.1,11.5
新潟,2013/5,50.0,0,104.1,0,16.3,16.5
新潟,2013/6,93.5,0,127.9,0,22.1,20.7
新潟,2013/7,413.0,0,192.1,0,25.1,24.5
新潟,2013/8,264.5,0,140.6,0,26.9,26.6
新潟,2013/9,165.0,0,155.1,0,22.9,22.5
新潟,2013/10,176.0,0,160.3,0,18.3,16.4
新潟,2013/11,416.0,0,210.8,0,9.8,10.5
新潟,2013/12,271.5,0,217.4,0,5.2,5.6
